Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
355,99,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100011101000000,1
356,100,1,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,1,1,1000111010000000,1
357,101,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,1,1,1000111010000000,1
358,102,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,1,1,1000111010000000,1
359,103,0,0,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,1,1,1000111010000000,1
360,104,0,0,0,1,1,0,0,1856,0000,0,10110111010000000000011101000000,1,1,1,1000111010000000,1
361,105,0,1,0,1,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
362,106,0,1,0,1,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
363,107,0,1,0,1,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
364,108,0,0,0,1,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
365,109,0,0,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0001110100000001,1
366,110,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
367,111,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
368,112,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
369,113,0,0,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
370,114,0,0,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0011101000000010,1
371,115,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
372,116,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
373,117,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
374,118,0,0,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
375,119,0,0,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,0111010000000100,1
376,120,0,1,0,0,1,0,0,1856,0000,0,10110111010000000000011101000000,1,0,1,1110100000001000,1
