Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
414,30,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
415,31,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
416,32,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
417,33,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
418,34,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
419,35,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
420,36,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
421,37,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
422,38,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
423,39,0,0,0,1,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
424,40,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
425,41,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
426,42,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
427,43,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
428,44,0,0,0,0,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
429,45,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
430,46,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
431,47,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
432,48,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
433,49,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
434,50,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
435,51,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
436,52,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
437,53,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
438,54,0,0,0,1,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
439,55,0,1,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
440,56,0,1,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
441,57,0,0,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
442,58,0,0,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
443,59,0,0,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
444,60,0,1,0,1,0,0,0,40,0101,1100100000001010,b8100000,2,0,0
445,61,0,1,0,1,0,0,0,40,0101,1100100000001010,b8100000,2,0,0
446,62,0,0,0,1,0,0,0,40,0101,1100100000001010,b8100000,2,0,0
447,63,0,0,0,1,0,0,0,40,0101,1100100000001010,b8100000,2,0,0
448,0,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
449,1,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
450,2,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
451,3,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
452,4,0,0,0,0,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
453,5,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
454,6,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
